id,nom,secteur,localisation,effectif,signal_croissance,site_web,paiement_en_ligne,score,score_reasons,statut,date_contact,message_genere
1,Nova 1,Finance,Agoè-Nyivé,25,Data/BI,true,true,95,"Secteur prioritaire haute valeur (Finance) | Taille correcte (25 salariés) | Lomé, couverture Fibre optimale | Signal d'expansion : Data/BI",Scoré,2026-08-12,
24,Orion 24,Santé,Tsévié,12,Automatisation,true,false,75,Secteur prioritaire (Santé) | Taille correcte (12 salariés) | Hors zone prioritaire (Tsévié) | Signal d'expansion : Automatisation,Relancé,,"Bonjour, votre besoin en Automatisation montre la dynamique de Orion 24. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
25,Avenir 25,Technologie,Tsévié,120,Marketing digital,true,true,80,Secteur prioritaire (Technologie) | Taille idéale (120 salariés) | Hors zone prioritaire (Tsévié) | Signal d'expansion : Marketing digital,Contacté,2026-09-01,"Bonjour, votre besoin en Marketing digital montre la dynamique de Avenir 25. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
26,Impact 26,Immobilier,Kpalimé,18,CRM,true,false,65,Secteur secondaire (Immobilier) | Taille correcte (18 salariés) | Hors zone prioritaire (Kpalimé) | Signal d'expansion : CRM,Nouveau,2026-08-12,
27,Kékéli 27,Technologie,Agoè-Nyivé,25,CRM,true,true,90,"Secteur prioritaire (Technologie) | Taille correcte (25 salariés) | Lomé, couverture Fibre optimale | Signal d'expansion : CRM",Relancé,2026-08-12,"Bonjour, votre besoin en CRM montre la dynamique de Kékéli 27. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
28,Evolu 28,Agroalimentaire,Kara,12,Application mobile,true,false,65,"Secteur hors cible (Agroalimentaire) | Taille correcte (12 salariés) | Kara, couverture Fibre partielle | Signal d'expansion : Application mobile",Converti,2026-08-12,"Bonjour, votre besoin en Application mobile montre la dynamique de Evolu 28. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
29,Orion 29,Logistique,Agoè-Nyivé,12,Développement web,true,false,90,"Secteur prioritaire (Logistique) | Taille correcte (12 salariés) | Lomé, couverture Fibre optimale | Signal d'expansion : Développement web",Converti,,"Bonjour, votre besoin en Développement web montre la dynamique de Orion 29. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
30,Alliance 30,Distribution,Kara,8,Application mobile,true,false,60,"Secteur secondaire (Distribution) | Taille inadaptée (8 salariés) | Kara, couverture Fibre partielle | Signal d'expansion : Application mobile",Contacté,2026-08-12,"Bonjour, votre besoin en Application mobile montre la dynamique de Alliance 30. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
31,Impact 31,Logistique,Tsévié,35,Marketing digital,true,false,75,Secteur prioritaire (Logistique) | Taille correcte (35 salariés) | Hors zone prioritaire (Tsévié) | Signal d'expansion : Marketing digital,Scoré,2026-08-12,
32,Kékéli 32,Services,Lomé,25,Automatisation,true,false,80,"Secteur secondaire (Services) | Taille correcte (25 salariés) | Lomé, couverture Fibre optimale | Signal d'expansion : Automatisation",Scoré,2026-09-05,
33,Impact 33,Santé,Kpalimé,5,Application mobile,true,false,60,Secteur prioritaire (Santé) | Taille inadaptée (5 salariés) | Hors zone prioritaire (Kpalimé) | Signal d'expansion : Application mobile,Converti,2026-09-01,"Bonjour, votre besoin en Application mobile montre la dynamique de Impact 33. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
34,Élite 34,Technologie,Kpalimé,8,Application mobile,true,true,60,Secteur prioritaire (Technologie) | Taille inadaptée (8 salariés) | Hors zone prioritaire (Kpalimé) | Signal d'expansion : Application mobile,Relancé,2026-08-25,"Bonjour, votre besoin en Application mobile montre la dynamique de Élite 34. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
35,Vision 35,Technologie,Kpalimé,50,Data/BI,true,true,80,Secteur prioritaire (Technologie) | Taille idéale (50 salariés) | Hors zone prioritaire (Kpalimé) | Signal d'expansion : Data/BI,Contacté,2026-08-25,"Bonjour, votre besoin en Data/BI montre la dynamique de Vision 35. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
36,Evolu 36,Services,Kara,35,,true,false,50,"Secteur secondaire (Services) | Taille correcte (35 salariés) | Kara, couverture Fibre partielle | Aucun signal de croissance détecté",Contacté,2026-09-10,"Bonjour, votre croissance dans le secteur Services montre la dynamique de Evolu 36. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
37,Evolu 37,Immobilier,Agoè-Nyivé,8,CRM,true,false,65,"Secteur secondaire (Immobilier) | Taille inadaptée (8 salariés) | Lomé, couverture Fibre optimale | Signal d'expansion : CRM",Non intéressé,2026-09-10,
38,Sigma 38,Logistique,Kpalimé,18,Marketing digital,true,false,75,Secteur prioritaire (Logistique) | Taille correcte (18 salariés) | Hors zone prioritaire (Kpalimé) | Signal d'expansion : Marketing digital,Non intéressé,2026-08-25,
39,Orion 39,Industrie,Atakpamé,5,Marketing digital,true,false,50,Secteur secondaire (Industrie) | Taille inadaptée (5 salariés) | Hors zone prioritaire (Atakpamé) | Signal d'expansion : Marketing digital,Relancé,2026-09-01,"Bonjour, votre besoin en Marketing digital montre la dynamique de Orion 39. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
40,Evolu 40,Agroalimentaire,Atakpamé,50,Automatisation,true,false,60,Secteur hors cible (Agroalimentaire) | Taille idéale (50 salariés) | Hors zone prioritaire (Atakpamé) | Signal d'expansion : Automatisation,Converti,2026-09-01,"Bonjour, votre besoin en Automatisation montre la dynamique de Evolu 40. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
41,Sigma 41,Technologie,Tsévié,18,Application mobile,true,true,75,Secteur prioritaire (Technologie) | Taille correcte (18 salariés) | Hors zone prioritaire (Tsévié) | Signal d'expansion : Application mobile,Relancé,2026-08-12,"Bonjour, votre besoin en Application mobile montre la dynamique de Sigma 41. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
42,Kékéli 42,Éducation,Kpalimé,50,Application mobile,true,false,80,Secteur prioritaire (Éducation) | Taille idéale (50 salariés) | Hors zone prioritaire (Kpalimé) | Signal d'expansion : Application mobile,Non intéressé,2026-08-12,
43,Vision 43,Logistique,Atakpamé,5,Application mobile,true,false,60,Secteur prioritaire (Logistique) | Taille inadaptée (5 salariés) | Hors zone prioritaire (Atakpamé) | Signal d'expansion : Application mobile,Relancé,,"Bonjour, votre besoin en Application mobile montre la dynamique de Vision 43. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
44,Orion 44,Services,Kara,18,Automatisation,true,false,75,"Secteur secondaire (Services) | Taille correcte (18 salariés) | Kara, couverture Fibre partielle | Signal d'expansion : Automatisation",Converti,2026-08-25,"Bonjour, votre besoin en Automatisation montre la dynamique de Orion 44. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
45,Kékéli 45,Services,Lomé,120,CRM,true,false,85,"Secteur secondaire (Services) | Taille idéale (120 salariés) | Lomé, couverture Fibre optimale | Signal d'expansion : CRM",Non intéressé,2026-08-25,
46,Alliance 46,Logistique,Agoè-Nyivé,35,Application mobile,true,false,90,"Secteur prioritaire (Logistique) | Taille correcte (35 salariés) | Lomé, couverture Fibre optimale | Signal d'expansion : Application mobile",Scoré,2026-09-05,
47,Orion 47,Finance,Agoè-Nyivé,35,Développement web,true,true,95,"Secteur prioritaire haute valeur (Finance) | Taille correcte (35 salariés) | Lomé, couverture Fibre optimale | Signal d'expansion : Développement web",Contacté,2026-08-25,"Bonjour, votre besoin en Développement web montre la dynamique de Orion 47. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
48,Nova 48,Services,Kara,18,,true,false,50,"Secteur secondaire (Services) | Taille correcte (18 salariés) | Kara, couverture Fibre partielle | Aucun signal de croissance détecté",Nouveau,2026-09-10,
49,Alliance 49,Services,Kara,50,CRM,true,false,80,"Secteur secondaire (Services) | Taille idéale (50 salariés) | Kara, couverture Fibre partielle | Signal d'expansion : CRM",Relancé,2026-08-12,"Bonjour, votre besoin en CRM montre la dynamique de Alliance 49. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
50,Orion 50,Logistique,Lomé,35,CRM,true,false,90,"Secteur prioritaire (Logistique) | Taille correcte (35 salariés) | Lomé, couverture Fibre optimale | Signal d'expansion : CRM",Converti,2026-09-05,"Bonjour, votre besoin en CRM montre la dynamique de Orion 50. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
51,Kékéli 51,Logistique,Kpalimé,12,Automatisation,true,false,75,Secteur prioritaire (Logistique) | Taille correcte (12 salariés) | Hors zone prioritaire (Kpalimé) | Signal d'expansion : Automatisation,Contacté,2026-08-25,"Bonjour, votre besoin en Automatisation montre la dynamique de Kékéli 51. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
52,Alliance 52,Industrie,Kara,18,Développement web,true,false,75,"Secteur secondaire (Industrie) | Taille correcte (18 salariés) | Kara, couverture Fibre partielle | Signal d'expansion : Développement web",Contacté,2026-09-01,"Bonjour, votre besoin en Développement web montre la dynamique de Alliance 52. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
53,Alliance 53,Services,Atakpamé,25,Développement web,true,false,65,Secteur secondaire (Services) | Taille correcte (25 salariés) | Hors zone prioritaire (Atakpamé) | Signal d'expansion : Développement web,Relancé,2026-08-25,"Bonjour, votre besoin en Développement web montre la dynamique de Alliance 53. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
54,Sigma 54,Technologie,Kara,75,Marketing digital,true,true,90,"Secteur prioritaire (Technologie) | Taille idéale (75 salariés) | Kara, couverture Fibre partielle | Signal d'expansion : Marketing digital",Converti,2026-09-10,"Bonjour, votre besoin en Marketing digital montre la dynamique de Sigma 54. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
55,Sigma 55,Agroalimentaire,Tsévié,120,Application mobile,true,false,60,Secteur hors cible (Agroalimentaire) | Taille idéale (120 salariés) | Hors zone prioritaire (Tsévié) | Signal d'expansion : Application mobile,Contacté,2026-08-12,"Bonjour, votre besoin en Application mobile montre la dynamique de Sigma 55. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
56,Impact 56,Immobilier,Kpalimé,8,Application mobile,true,false,50,Secteur secondaire (Immobilier) | Taille inadaptée (8 salariés) | Hors zone prioritaire (Kpalimé) | Signal d'expansion : Application mobile,Relancé,2026-09-01,"Bonjour, votre besoin en Application mobile montre la dynamique de Impact 56. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
57,Impact 57,Santé,Tsévié,18,Application mobile,true,false,75,Secteur prioritaire (Santé) | Taille correcte (18 salariés) | Hors zone prioritaire (Tsévié) | Signal d'expansion : Application mobile,Relancé,2026-09-01,"Bonjour, votre besoin en Application mobile montre la dynamique de Impact 57. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
58,Kékéli 58,Technologie,Lomé,75,Automatisation,true,true,95,"Secteur prioritaire (Technologie) | Taille idéale (75 salariés) | Lomé, couverture Fibre optimale | Signal d'expansion : Automatisation",Scoré,2026-09-01,
59,Nova 59,Commerce,Kara,50,Développement web,true,true,80,"Secteur secondaire (Commerce) | Taille idéale (50 salariés) | Kara, couverture Fibre partielle | Signal d'expansion : Développement web",Scoré,2026-08-25,
60,Orion 60,Logistique,Atakpamé,18,,true,false,50,Secteur prioritaire (Logistique) | Taille correcte (18 salariés) | Hors zone prioritaire (Atakpamé) | Aucun signal de croissance détecté,Contacté,2026-09-10,"Bonjour, votre croissance dans le secteur Logistique montre la dynamique de Orion 60. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
61,Avenir 61,Services,Agoè-Nyivé,8,Développement web,true,false,65,"Secteur secondaire (Services) | Taille inadaptée (8 salariés) | Lomé, couverture Fibre optimale | Signal d'expansion : Développement web",Nouveau,2026-08-25,
62,Vision 62,Industrie,Tsévié,75,Marketing digital,true,false,70,Secteur secondaire (Industrie) | Taille idéale (75 salariés) | Hors zone prioritaire (Tsévié) | Signal d'expansion : Marketing digital,Converti,2026-08-25,"Bonjour, votre besoin en Marketing digital montre la dynamique de Vision 62. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
63,Evolu 63,Technologie,Kara,18,Application mobile,true,true,85,"Secteur prioritaire (Technologie) | Taille correcte (18 salariés) | Kara, couverture Fibre partielle | Signal d'expansion : Application mobile",Scoré,2026-08-25,
64,Evolu 64,Services,Kara,25,Application mobile,true,false,75,"Secteur secondaire (Services) | Taille correcte (25 salariés) | Kara, couverture Fibre partielle | Signal d'expansion : Application mobile",Non intéressé,2026-09-05,
65,Evolu 65,Finance,Kpalimé,50,Développement web,true,true,85,Secteur prioritaire haute valeur (Finance) | Taille idéale (50 salariés) | Hors zone prioritaire (Kpalimé) | Signal d'expansion : Développement web,Converti,2026-09-01,"Bonjour, votre besoin en Développement web montre la dynamique de Evolu 65. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
66,Avenir 66,Distribution,Atakpamé,75,Marketing digital,true,false,70,Secteur secondaire (Distribution) | Taille idéale (75 salariés) | Hors zone prioritaire (Atakpamé) | Signal d'expansion : Marketing digital,Non intéressé,2026-09-01,
67,Élite 67,Immobilier,Agoè-Nyivé,8,Marketing digital,true,false,65,"Secteur secondaire (Immobilier) | Taille inadaptée (8 salariés) | Lomé, couverture Fibre optimale | Signal d'expansion : Marketing digital",Nouveau,2026-09-05,
68,Élite 68,Santé,Lomé,35,Marketing digital,true,false,90,"Secteur prioritaire (Santé) | Taille correcte (35 salariés) | Lomé, couverture Fibre optimale | Signal d'expansion : Marketing digital",Non intéressé,2026-08-12,
69,Orion 69,Immobilier,Kpalimé,75,Application mobile,true,false,70,Secteur secondaire (Immobilier) | Taille idéale (75 salariés) | Hors zone prioritaire (Kpalimé) | Signal d'expansion : Application mobile,Nouveau,2026-08-12,
70,Evolu 70,Éducation,Tsévié,12,,true,false,50,Secteur prioritaire (Éducation) | Taille correcte (12 salariés) | Hors zone prioritaire (Tsévié) | Aucun signal de croissance détecté,Nouveau,,
71,Sigma 71,Santé,Kpalimé,120,Développement web,true,false,80,Secteur prioritaire (Santé) | Taille idéale (120 salariés) | Hors zone prioritaire (Kpalimé) | Signal d'expansion : Développement web,Contacté,2026-09-05,"Bonjour, votre besoin en Développement web montre la dynamique de Sigma 71. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
72,Evolu 72,Agroalimentaire,Lomé,12,,true,false,45,"Secteur hors cible (Agroalimentaire) | Taille correcte (12 salariés) | Lomé, couverture Fibre optimale | Aucun signal de croissance détecté",Converti,2026-09-01,"Bonjour, votre croissance dans le secteur Agroalimentaire montre la dynamique de Evolu 72. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
73,Evolu 73,Technologie,Agoè-Nyivé,75,Data/BI,true,true,95,"Secteur prioritaire (Technologie) | Taille idéale (75 salariés) | Lomé, couverture Fibre optimale | Signal d'expansion : Data/BI",Non intéressé,2026-09-01,
74,Impact 74,Services,Agoè-Nyivé,50,Marketing digital,true,false,85,"Secteur secondaire (Services) | Taille idéale (50 salariés) | Lomé, couverture Fibre optimale | Signal d'expansion : Marketing digital",Converti,,"Bonjour, votre besoin en Marketing digital montre la dynamique de Impact 74. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
75,Sigma 75,Finance,Atakpamé,12,CRM,true,true,80,Secteur prioritaire haute valeur (Finance) | Taille correcte (12 salariés) | Hors zone prioritaire (Atakpamé) | Signal d'expansion : CRM,Scoré,,
76,Vision 76,Technologie,Lomé,12,Marketing digital,true,true,90,"Secteur prioritaire (Technologie) | Taille correcte (12 salariés) | Lomé, couverture Fibre optimale | Signal d'expansion : Marketing digital",Converti,2026-09-10,"Bonjour, votre besoin en Marketing digital montre la dynamique de Vision 76. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
77,Élite 77,Technologie,Atakpamé,75,Développement web,true,true,80,Secteur prioritaire (Technologie) | Taille idéale (75 salariés) | Hors zone prioritaire (Atakpamé) | Signal d'expansion : Développement web,Scoré,,
78,Nova 78,Industrie,Kpalimé,12,Application mobile,true,false,65,Secteur secondaire (Industrie) | Taille correcte (12 salariés) | Hors zone prioritaire (Kpalimé) | Signal d'expansion : Application mobile,Non intéressé,2026-08-25,
79,Orion 79,Logistique,Agoè-Nyivé,12,Data/BI,true,false,90,"Secteur prioritaire (Logistique) | Taille correcte (12 salariés) | Lomé, couverture Fibre optimale | Signal d'expansion : Data/BI",Relancé,2026-08-25,"Bonjour, votre besoin en Data/BI montre la dynamique de Orion 79. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
80,Sigma 80,Technologie,Kara,25,Application mobile,true,true,85,"Secteur prioritaire (Technologie) | Taille correcte (25 salariés) | Kara, couverture Fibre partielle | Signal d'expansion : Application mobile",Scoré,2026-09-05,
81,Evolu 81,Santé,Kpalimé,50,Automatisation,true,false,80,Secteur prioritaire (Santé) | Taille idéale (50 salariés) | Hors zone prioritaire (Kpalimé) | Signal d'expansion : Automatisation,Contacté,2026-09-05,"Bonjour, votre besoin en Automatisation montre la dynamique de Evolu 81. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
82,Élite 82,Services,Kpalimé,25,Application mobile,true,false,65,Secteur secondaire (Services) | Taille correcte (25 salariés) | Hors zone prioritaire (Kpalimé) | Signal d'expansion : Application mobile,Relancé,,"Bonjour, votre besoin en Application mobile montre la dynamique de Élite 82. Opticom Business peut accompagner vos équipes avec Fibre Pro, flotte mobile et API SMS. Auriez-vous 20 minutes cette semaine ?"
